Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\AlphaFS.csproj,,,,,,,,Current target framework: net45;net46;net47;netstandard20 Recommended target framework: net45;net46;net47;netstandard20;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\ServerStatisticsInfo.cs,83,15,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,return TimeSpan.FromMilliseconds(_serverStat.sts0_avresponse);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\OpenConnectionInfo.cs,49,9,M:System.TimeSpan.FromSeconds(System.Double),,,,,ConnectedTime = TimeSpan.FromSeconds(connectionInfo.coni1_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\OpenConnectionInfo.cs,49,9,M:System.TimeSpan.FromSeconds(System.Double),,,,,ConnectedTime = TimeSpan.FromSeconds(connectionInfo.coni1_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,93,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,IdleTime = TimeSpan.FromSeconds((int) sesi10.sesi10_idle_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,92,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,ActiveTime = TimeSpan.FromSeconds((int) sesi10.sesi10_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,83,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,IdleTime = TimeSpan.FromSeconds((int) sesi1.sesi1_idle_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,82,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,ActiveTime = TimeSpan.FromSeconds((int) sesi1.sesi1_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,71,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,ActiveTime = TimeSpan.FromSeconds((int) sesi2.sesi2_time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Network\SessionInfo.cs,59,15,M:System.TimeSpan.FromSeconds(System.Double),,,,,IdleTime = TimeSpan.FromSeconds((int) sesi502.sesi502_idle_time);
